Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H9N6F1,C121O80N9H201,[M+H2],2
H9N6F1,C121O80N9H201,[M+H3],3
H9N6F2,C127O84N9H211,[M+H1],1
H9N6F2,C127O84N9H211,[M+H2],2
H9N6F2,C127O84N9H211,[M+H3],3
H9N6F3,C133O88N9H221,[M+H1],1
H9N6F3,C133O88N9H221,[M+H2],2
H9N6F3,C133O88N9H221,[M+H3],3
H9N6F4,C139O92N9H231,[M+H1],1
H9N6F4,C139O92N9H231,[M+H2],2
H9N6F4,C139O92N9H231,[M+H3],3
H9N6S1,C126O84N10H208,[M+H1],1
H9N6S1,C126O84N10H208,[M+H2],2
H9N6S1,C126O84N10H208,[M+H3],3
H9N6S1F1,C132O88N10H218,[M+H1],1
H9N6S1F1,C132O88N10H218,[M+H2],2
H9N6S1F1,C132O88N10H218,[M+H3],3
H9N6S1F2,C138O92N10H228,[M+H1],1
H9N6S1F2,C138O92N10H228,[M+H2],2
H9N6S1F2,C138O92N10H228,[M+H3],3
H9N6S1F3,C144O96N10H238,[M+H1],1
H9N6S1F3,C144O96N10H238,[M+H2],2
H9N6S1F3,C144O96N10H238,[M+H3],3
H9N6S1F4,C150O100N10H248,[M+H1],1
H9N6S1F4,C150O100N10H248,[M+H2],2
H9N6S1F4,C150O100N10H248,[M+H3],3
H9N6S2,C137O92N11H225,[M+H1],1
H9N6S2,C137O92N11H225,[M+H2],2
H9N6S2,C137O92N11H225,[M+H3],3
H9N6S2F1,C143O96N11H235,[M+H1],1
H9N6S2F1,C143O96N11H235,[M+H2],2
H9N6S2F1,C143O96N11H235,[M+H3],3
H9N6S2F2,C149O100N11H245,[M+H1],1
H9N6S2F2,C149O100N11H245,[M+H2],2
H9N6S2F2,C149O100N11H245,[M+H3],3
H9N6S2F3,C155O104N11H255,[M+H1],1
H9N6S2F3,C155O104N11H255,[M+H2],2
H9N6S2F3,C155O104N11H255,[M+H3],3
H9N6S2F4,C161O108N11H265,[M+H1],1
H9N6S2F4,C161O108N11H265,[M+H2],2
H9N6S2F4,C161O108N11H265,[M+H3],3
H9N6S3,C148O100N12H242,[M+H1],1
H9N6S3,C148O100N12H242,[M+H2],2
H9N6S3,C148O100N12H242,[M+H3],3
H9N6S3F1,C154O104N12H252,[M+H1],1
H9N6S3F1,C154O104N12H252,[M+H2],2
H9N6S3F1,C154O104N12H252,[M+H3],3
H9N6S3F2,C160O108N12H262,[M+H1],1
H9N6S3F2,C160O108N12H262,[M+H2],2
H9N6S3F2,C160O108N12H262,[M+H3],3
H9N6S3F3,C166O112N12H272,[M+H1],1
H9N6S3F3,C166O112N12H272,[M+H2],2
H9N6S3F3,C166O112N12H272,[M+H3],3
H9N6S3F4,C172O116N12H282,[M+H1],1
H9N6S3F4,C172O116N12H282,[M+H2],2
H9N6S3F4,C172O116N12H282,[M+H3],3
H9N6S4,C159O108N13H259,[M+H1],1
H9N6S4,C159O108N13H259,[M+H2],2
H9N6S4,C159O108N13H259,[M+H3],3
H9N6S4F1,C165O112N13H269,[M+H1],1
H9N6S4F1,C165O112N13H269,[M+H2],2
H9N6S4F1,C165O112N13H269,[M+H3],3
H9N6S4F2,C171O116N13H279,[M+H1],1
H9N6S4F2,C171O116N13H279,[M+H2],2
H9N6S4F2,C171O116N13H279,[M+H3],3
H9N6S4F3,C177O120N13H289,[M+H1],1
H9N6S4F3,C177O120N13H289,[M+H2],2
H9N6S4F3,C177O120N13H289,[M+H3],3
H9N7,C123O81N10H204,[M+H1],1
H9N7,C123O81N10H204,[M+H2],2
H9N7,C123O81N10H204,[M+H3],3
H9N7F1,C129O85N10H214,[M+H1],1
H9N7F1,C129O85N10H214,[M+H2],2
H9N7F1,C129O85N10H214,[M+H3],3
H9N7F2,C135O89N10H224,[M+H1],1
H9N7F2,C135O89N10H224,[M+H2],2
H9N7F2,C135O89N10H224,[M+H3],3
H9N7F3,C141O93N10H234,[M+H1],1
H9N7F3,C141O93N10H234,[M+H2],2
H9N7F3,C141O93N10H234,[M+H3],3
H9N7F4,C147O97N10H244,[M+H1],1
H9N7F4,C147O97N10H244,[M+H2],2
H9N7F4,C147O97N10H244,[M+H3],3
H9N7S1,C134O89N11H221,[M+H1],1
H9N7S1,C134O89N11H221,[M+H2],2
H9N7S1,C134O89N11H221,[M+H3],3
H9N7S1F1,C140O93N11H231,[M+H1],1
H9N7S1F1,C140O93N11H231,[M+H2],2
H9N7S1F1,C140O93N11H231,[M+H3],3
H9N7S1F2,C146O97N11H241,[M+H1],1
H9N7S1F2,C146O97N11H241,[M+H2],2
H9N7S1F2,C146O97N11H241,[M+H3],3
H9N7S1F3,C152O101N11H251,[M+H1],1
H9N7S1F3,C152O101N11H251,[M+H2],2
H9N7S1F3,C152O101N11H251,[M+H3],3
H9N7S1F4,C158O105N11H261,[M+H1],1
H9N7S1F4,C158O105N11H261,[M+H2],2
H9N7S1F4,C158O105N11H261,[M+H3],3
H9N7S2,C145O97N12H238,[M+H1],1
H9N7S2,C145O97N12H238,[M+H2],2
